"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"ACPA16","Acacia sowdenii Maiden","","","",""
"ACSP9","Acacia spectabilis A. Cunn. ex Benth.","","","",""
"VASP2","Acacia sphaerocephala Schltdl. & Cham.","","","",""
"ACST5","Acacia stenophylla A. Cunn. ex Benth.","","","",""
"ACST8","Acacia stowardii Maiden","","","",""
"ACST6","Acacia stricta","","","",""
"ACSU9","Acacia suaveolens","","","",""
"ACSU11","Acacia sublanata Benth.","","","",""
"ACSU10","Acacia subulata Bonpl.","","","",""
"SEPO3","Acacia suma","","","",""
"VASW","Acacia swazica Burtt Davy","","","",""
"ACTE9","Acacia terminalis","","","",""
"ACTE8","Acacia tetragonophylla F. Muell.","","","",""
"ACANH2","Acacia texensis Torr. & A. Gray","","","",""
"VATOS","Acacia tortilis","","","",""
"VATO","Acacia tortilis","","","",""
"VATOH","Acacia tortilis","","","",""
"VATO2","Acacia tortuosa","","","",""
"ACTR6","Acacia trineura F. Muell.","","","",""
"ACUL2","Acacia ulicifolia","","","",""
"ACUN2","Acacia uncinata Lindl.","","","",""
"ACUN3","Acacia undulifolia G. Lodd.","","","",""
"ACUR2","Acacia urophylla Benth. ex Lindl.","","","",""
"SESE16","Acacia verek Guill. & Perr.","","","",""
"ACVE5","Acacia verniciflua A. Cunn.","","","",""
"VAVE","Acacia vernicosa Standl., nom. illeg.","","","",""
"ACVE2","Acacia verticillata","","","",""
"ACVI7","Acacia victoriae Benth.","","","",""
"ACGL7","Acacia villosa","","","",""
"ACVI9","Acacia viscidula Benth.","","","",""
"SEVI11","Acacia visco Lorentz ex Griseb.","","","",""
"SEVO2","Acacia vogeliana Steud.","","","",""
"ACWA3","Acacia wattsiana F. Muell. ex Benth.","","","",""
"SEWE4","Acacia westiana DC.","","","",""
"MAWI","Acacia willardiana Rose","","","",""
"SEWR4","Acacia wrightii Benth.","","","",""
"VAXA","Acacia xanthophloea Benth.","","","",""
"SEEM3","Acacia Ã—emoryana Benth.","","","",""
"ACACI2","Acaciella Britton & Rose","","","",""
"ACAN11","Acaciella angustissima","","","",""
"ACANC3","Acaciella angustissima","","","",""
"ACANH2","Acaciella angustissima","","","",""
"ACANH2","Acaciella angustissima","","","",""
"ACGL7","Acaciella glauca","","","",""
"ACANH2","Acaciella hirta","","","",""
"ACLE10","Acaciella leucothrix","","","",""
"ACSH2","Acaciella shrevei Britton & Rose","","","",""
"ACSU12","Acaciella suffrutescens Britton & Rose","","","",""
"VAVE","Acaciopsis vernicosa Britton & Rose","","","",""
"ACAEN","Acaena Mutis ex L.","","","",""
"ACNO7","Acaena anserinifolia auct. non","","","",""
"ACPIC2","Acaena californica Bitter","","","",""
"ACEX","Acaena exigua A. Gray","","","",""
"ACEX","Acaena exigua A. Gray var. glaberrima Bitter","","","",""
"ACEX","Acaena exigua A. Gray var. glabriuscula Bitter","","","",""
"ACEX","Acaena exigua A. Gray var. subtusstrigulosa Bitter","","","",""
"ACMY3","Acaena myriophylla Lindl.","","","",""
"ACNO7","Acaena novae-zelandiae Kirk","","","",""
"ACNO7","Acaena novae-zelandica Kirk, orth. var.","","","",""
"ACPA14","Acaena pallida","","","",""
"ACPI3","Acaena pinnatifida Ruiz & Pav.","","","",""
"ACPIC2","Acaena pinnatifida Ruiz & Pav. var. californica","","","",""
"ACNO7","Acaena sanguisorbae auct. non","","","",""
"ACALY","Acalypha L.","","","",""
"ACAL2","Acalypha alopecuroidea Jacq.","","","",""
"ACAM2","Acalypha amentacea Roxb.","","","",""
"ACWI","Acalypha amentacea Roxb. ssp. wilkesiana","","","",""
"ACAMH","Acalypha amentacea Roxb. var. heterotricha Fosberg","","","",""
"ACAMP2","Acalypha amentacea Roxb. var. palauensis Fosberg","","","",""
"ACAL2","Acalypha aristata Kunth","","","",""
"ACAR16","Acalypha aristata auct. non Kunth","","","",""
"ACAR16","Acalypha arvensis Poepp.","","","",""
"ACAU6","Acalypha australis L.","","","",""
"ACBE2","Acalypha berteriana MÃ¼ll. Arg.","","","",""
"ACBI3","Acalypha bisetosa Bertol. ex Spreng.","","","",""
"ACCA3","Acalypha californica Benth.","","","",""
"ACOS","Acalypha caroliniana Elliott","","","",""
"ACCH2","Acalypha chamaedryfolia","","","",""
"ACDE4","Acalypha deamii","","","",""
"ACGR2","Acalypha gracilens A. Gray","","","",""
"ACMO4","Acalypha gracilens A. Gray ssp. monococca","","","",""
"ACGR2","Acalypha gracilens A. Gray var. delzii L. Mill.","","","",""
"ACGR2","Acalypha gracilens A. Gray var. fraseri","","","",""
"ACMO4","Acalypha gracilens A. Gray var. monococca Engelm. ex A. Gray","","","",""
"ACMO","Acalypha hederacea Torr.","","","",""
"ACHI2","Acalypha hispida Burm. f.","","","",""
